2018/03/08
2018/03/08 00:00:12, Pos 1, 2.565, Pos 2, 2.529, Pos 3, 2.602, Pos 4, 2.572, Pos 5, 2.659, Pos 6, 2.654, Pos 7, 2.446, Pos 8, 2.569, Pos 9, 2.607, Pos 10, 2.49, Pos 11, 2.506, Pos 12, 2.479, Pos 13, 2.408, Pos 14, 2.469, Pos 15, 2.479, Pos 16, 2.466, Ave. Thickness, 2.531, Std., 0.073, Max., 2.659, Min., 2.408, OD, 20.063, ID, 14.689, Roundness, 0.502, 
2018/03/08 00:00:18, Pos 1, 2.554, Pos 2, 2.537, Pos 3, 2.603, Pos 4, 2.584, Pos 5, 2.663, Pos 6, 2.656, Pos 7, 2.468, Pos 8, 2.569, Pos 9, 2.608, Pos 10, 2.489, Pos 11, 2.498, Pos 12, 2.479, Pos 13, 2.418, Pos 14, 2.463, Pos 15, 2.479, Pos 16, 2.457, Ave. Thickness, 2.533, Std., 0.072, Max., 2.663, Min., 2.418, OD, 20.075, ID, 14.696, Roundness, 0.477, 
2018/03/08 00:00:33, Pos 1, 2.583, Pos 2, 2.379, Pos 3, 2.538, Pos 4, 2.318, Pos 5, 2.489, Pos 6, 2.559, Pos 7, 2.226, Pos 8, 2.561, Pos 9, 2.375, Pos 10, NA, Pos 11, 2.522, Pos 12, NA, Pos 13, NA, Pos 14, 2.581, Pos 15, NA, Pos 16, 2.412, Ave. Thickness, 2.462, Std., 0.112, Max., 2.583, Min., 2.226, OD, 20.23, ID, 14.712, Roundness, 0.469, 
2018/03/08 00:00:40, Pos 1, 2.56, Pos 2, 2.35, Pos 3, 2.54, Pos 4, 2.242, Pos 5, 2.46, Pos 6, 2.569, Pos 7, 2.179, Pos 8, 2.547, Pos 9, 2.388, Pos 10, 2.556, Pos 11, 2.496, Pos 12, 2.508, Pos 13, 2.501, Pos 14, 2.48, Pos 15, 2.528, Pos 16, 2.419, Ave. Thickness, 2.458, Std., 0.112, Max., 2.569, Min., 2.179, OD, 19.656, ID, 14.707, Roundness, 0.498, 
2018/03/08 00:00:57, Pos 1, 2.586, Pos 2, 2.508, Pos 3, 2.58, Pos 4, 2.441, Pos 5, 2.513, Pos 6, 2.544, Pos 7, 2.351, Pos 8, 2.591, Pos 9, 2.614, Pos 10, 2.513, Pos 11, 2.563, Pos 12, 2.663, Pos 13, 2.671, Pos 14, 2.636, Pos 15, 2.633, Pos 16, 2.582, Ave. Thickness, 2.562, Std., 0.081, Max., 2.671, Min., 2.351, OD, 20.058, ID, 14.94, Roundness, 0.391, 
2018/03/08 00:01:03, Pos 1, 2.512, Pos 2, NA, Pos 3, NA, Pos 4, 5.202, Pos 5, NA, Pos 6, NA, Pos 7, 5.061, Pos 8, 2.609, Pos 9, NA, Pos 10, 1.848, Pos 11, 2.273, Pos 12, NA, Pos 13, 1.692, Pos 14, 1.759, Pos 15, 1.74, Pos 16, 2.559, Ave. Thickness, 2.725, Std., 1.25, Max., 5.202, Min., 1.692, OD, 21.568, ID, 14.896, Roundness, 0.497, 
2018/03/08 00:01:20, Pos 1, 2.531, Pos 2, 2.529, Pos 3, 2.473, Pos 4, 2.414, Pos 5, 2.479, Pos 6, 2.481, Pos 7, 2.402, Pos 8, 2.485, Pos 9, 2.681, Pos 10, 2.509, Pos 11, 2.674, Pos 12, 2.413, Pos 13, 2.616, Pos 14, 2.659, Pos 15, 2.434, Pos 16, 2.645, Ave. Thickness, 2.527, Std., 0.095, Max., 2.681, Min., 2.402, OD, 20.067, ID, 14.847, Roundness, 0.488, 
2018/03/08 00:01:25, Pos 1, 2.522, Pos 2, 2.518, Pos 3, 2.475, Pos 4, 2.404, Pos 5, 2.475, Pos 6, 2.48, Pos 7, 2.386, Pos 8, 2.484, Pos 9, 2.674, Pos 10, 2.494, Pos 11, 2.674, Pos 12, 2.421, Pos 13, 2.616, Pos 14, 2.658, Pos 15, 2.43, Pos 16, 2.668, Ave. Thickness, 2.524, Std., 0.098, Max., 2.674, Min., 2.386, OD, 20.051, ID, 14.836, Roundness, 0.523, 
2018/03/08 00:01:41, Pos 1, 2.478, Pos 2, 2.588, Pos 3, 2.496, Pos 4, 2.471, Pos 5, 2.498, Pos 6, 2.496, Pos 7, 2.464, Pos 8, 2.441, Pos 9, 2.668, Pos 10, 2.516, Pos 11, 2.54, Pos 12, 2.572, Pos 13, 2.592, Pos 14, 2.563, Pos 15, 2.519, Pos 16, 2.569, Ave. Thickness, 2.529, Std., 0.058, Max., 2.668, Min., 2.441, OD, 19.912, ID, 14.684, Roundness, 0.513, 
2018/03/08 00:01:47, Pos 1, 2.457, Pos 2, 2.588, Pos 3, 2.491, Pos 4, 2.488, Pos 5, 2.492, Pos 6, 2.497, Pos 7, 2.502, Pos 8, 2.434, Pos 9, 2.664, Pos 10, 2.492, Pos 11, 2.529, Pos 12, 2.538, Pos 13, 2.587, Pos 14, 2.557, Pos 15, 2.488, Pos 16, 2.557, Ave. Thickness, 2.523, Std., 0.055, Max., 2.664, Min., 2.434, OD, 19.925, ID, 14.654, Roundness, 0.512, 
2018/03/08 00:02:04, Pos 1, 2.589, Pos 2, 2.507, Pos 3, 2.767, Pos 4, 2.652, Pos 5, 2.717, Pos 6, 2.688, Pos 7, 2.516, Pos 8, 2.716, Pos 9, 2.588, Pos 10, 2.51, Pos 11, 2.55, Pos 12, 2.428, Pos 13, 2.243, Pos 14, 2.51, Pos 15, 2.47, Pos 16, 2.532, Ave. Thickness, 2.561, Std., 0.126, Max., 2.767, Min., 2.243, OD, 20.371, ID, 15.108, Roundness, 0.517, 
